Port_IDs,total_profit,total_investment,ROI
3907081197088384000,-4623.874853759982,822097.0044959,-0.5624488142485432
4041804592937345281,-1779.0898104099817,290060.37424,-0.6133515531280181
3910983669796782848,-2961.857980029998,472762.574066,-0.6265000959269056
4002413037164645377,-495.04271177000146,74246.0316122,-0.6667598267819836
3993014919980212480,-2366.9379811699973,333519.7429322,-0.7096845183318468
3953433416230728705,-4597.485477210005,605311.7143400001,-0.7595236253147456
3995532094997544704,-30494.11127106009,3320976.6868544,-0.9182272008041057
3943533600390906881,-1072.8620341099988,111884.4779434,-0.9589015865567494
3975392755164484097,-7745.796460220001,754744.1072766,-1.0262811442370503
4034786679304751616,-437.5389421399949,41079.12833,-1.0651125277662261
3999845462424248576,-4043.6328873400057,336847.1509306,-1.2004355317148305
